26,40986,0,170,50,45,now(),0,0
29,40989,0,170,450,45,now(),0,0
1,40961,0,170,700,45,now(),0,0
2,40962,0,170,1100,45,now(),0,0
24,40984,0,830,50,45,now(),0,0
23,40983,0,830,450,45,now(),0,0
11,40971,0,830,700,45,now(),0,0
10,40970,0,830,1100,45,now(),0,0
48,41008,0,1370,50,45,now(),0,0
49,41009,0,1370,450,45,now(),0,0
28,40988,0,1370,700,45,now(),0,0
31,40991,0,1370,1100,45,now(),0,0
47,41007,0,2030,50,45,now(),0,0
46,41006,0,2030,450,45,now(),0,0
45,41005,0,2030,700,45,now(),0,0
9,40969,0,2030,1100,45,now(),0,0
